,p,q,P,Q,aic,culc_time_in_minutes
45,2,1,2,1,6299.1478979157,0.78
47,2,1,3,1,6299.195166966133,1.43
31,1,1,3,1,6306.539193806978,1.23
29,1,1,2,1,6306.960561236952,0.67
43,2,1,1,1,6308.1425924552295,0.22
27,1,1,1,1,6316.026620521225,0.27
41,2,1,0,1,6333.300858517714,0.25
25,1,1,0,1,6340.396727468707,0.18
46,2,1,3,0,6346.073157687912,1.6
44,2,1,2,0,6348.185182892987,0.68
15,0,1,3,1,6348.460180781013,1.05
13,0,1,2,1,6348.704738665987,0.5
39,2,0,3,1,6352.114003214691,1.63
37,2,0,2,1,6352.344476802757,0.7
30,1,1,3,0,6353.113804192211,1.1
42,2,1,1,0,6353.267705082244,0.35
28,1,1,2,0,6356.4281794391,0.47
11,0,1,1,1,6356.727641995603,0.18
23,1,0,3,1,6357.3381053363755,1.15
21,1,0,2,1,6357.97897359335,0.57
35,2,0,1,1,6360.33915993547,0.37
26,1,1,1,0,6360.521797721712,0.23
19,1,0,1,1,6366.125372912877,0.17
9,0,1,0,1,6385.87955845936,0.17
33,2,0,0,1,6389.533908498472,0.22
17,1,0,0,1,6394.691071457768,0.22
14,0,1,3,0,6398.450186388752,0.68
12,0,1,2,0,6400.125116030885,0.28
38,2,0,3,0,6402.260151955634,0.75
36,2,0,2,0,6404.115506019254,0.5
7,0,0,3,1,6404.765856488778,0.42
10,0,1,1,0,6405.743220103372,0.08
5,0,0,2,1,6407.22812992789,0.25
22,1,0,3,0,6407.943124863667,0.72
34,2,0,1,0,6409.897222196725,0.18
20,1,0,2,0,6410.112877011241,0.3
18,1,0,1,0,6414.986674328067,0.17
3,0,0,1,1,6415.038602805671,0.05
40,2,1,0,0,6439.616005690136,0.1
1,0,0,0,1,6441.956815652342,0.1
24,1,1,0,0,6448.716346312625,0.08
6,0,0,3,0,6453.786143403429,0.48
4,0,0,2,0,6459.099547995476,0.35
2,0,0,1,0,6462.085622996736,0.12
8,0,1,0,0,6487.116509238241,0.03
32,2,0,0,0,6492.00369344957,0.1
16,1,0,0,0,6499.120703012662,0.02
0,0,0,0,0,6548.755130445584,0.02
